0	1

0.01	1.00505

0.02	1.0102

0.03	1.01546

0.04	1.02082

0.05	1.0263

0.06	1.03189

0.07	1.03759

0.08	1.04341

0.09	1.04935

0.1	1.05541

0.11	1.0616

0.12	1.06792

0.13	1.07437

0.14	1.08096

0.15	1.0877

0.16	1.09457

0.17	1.10159

0.18	1.10877

0.19	1.1161

0.2	1.1236

0.21	1.13125

0.22	1.13908

0.23	1.14708

0.24	1.15527

0.25	1.16364

0.26	1.1722

0.27	1.18095

0.28	1.18991

0.29	1.19908

0.3	1.20846

0.31	1.21806

0.32	1.2279

0.33	1.23797

0.34	1.24828

0.35	1.25885

0.36	1.26968

0.37	1.28078

0.38	1.29216

0.39	1.30382

0.4	1.31579

0.41	1.32807

0.42	1.34066

0.43	1.35359

0.44	1.36687

0.45	1.3805

0.46	1.39451

0.47	1.4089

0.48	1.42369

0.49	1.4389

0.5	1.45455

0.51	1.47064

0.52	1.48721

0.53	1.50427

0.54	1.52184

0.55	1.53994

0.56	1.5586

0.57	1.57785

0.58	1.5977

0.59	1.61819

0.6	1.63934

0.61	1.6612

0.62	1.68379

0.63	1.70714

0.64	1.7313

0.65	1.75631

0.66	1.78221

0.67	1.80905

0.68	1.83688

0.69	1.86576

0.7	1.89573

0.71	1.92688

0.72	1.95925

0.73	1.99293

0.74	2.02799

0.75	2.06452

0.76	2.10261

0.77	2.14236

0.78	2.18388

0.79	2.2273

0.8	2.27273

0.81	2.32032

0.82	2.37023

0.83	2.42263

0.84	2.4777

0.85	2.53566

0.86	2.59673

0.87	2.66117

0.88	2.72926

0.89	2.80132

0.9	2.8777

0.91	2.9588

0.92	3.04507

0.93	3.13701

0.94	3.2352

0.95	3.34029

0.96	3.45304

0.97	3.5743

0.98	3.70508

0.99	3.84652

